,info,habs,m2,floor,price,elevator,exterior,neigh,type
326,"Chalet en Les Tres Torres, Barcelona",2,224.0,,2750000,False,False,Les Tres Torres,Chalet
327,"Piso en La Dreta de l'Eixample, Barcelona",4,250.0,,3500000,True,False,La Dreta de l'Eixample,Piso
328,"Ático en Sant Gervasi - Galvany, Barcelona",5,306.0,,1900000,True,False,Sant Gervasi - Galvany,Ático
329,"Chalet en Pedralbes, Barcelona",6,800.0,,6500000,False,False,Pedralbes,Chalet
330,"Ático en Sant Gervasi - Galvany, Barcelona",3,151.0,,1300000,True,False,Sant Gervasi - Galvany,Ático
331,"Chalet en Pedralbes, Barcelona",10,790.0,,4600000,False,False,Pedralbes,Chalet
332,"Chalet en El Camp d'En Grassot i Gràcia Nova, Barcelona",3,134.0,,780000,False,False,El Camp d'En Grassot i Gràcia Nova,Chalet
333,"Chalet en Sant Gervasi - Galvany, Barcelona",7,566.0,,2900000,False,False,Sant Gervasi - Galvany,Chalet
334,"Piso en El Camp d'En Grassot i Gràcia Nova, Barcelona",4,85.0,6.0,389000,True,True,El Camp d'En Grassot i Gràcia Nova,Piso
335,"Piso en La Dreta de l'Eixample, Barcelona",3,211.0,,1450000,True,False,La Dreta de l'Eixample,Piso
336,"Piso en El Raval, Barcelona",3,196.0,,990000,True,False,El Raval,Piso
337,"Piso en La Dreta de l'Eixample, Barcelona",6,208.0,,1195000,True,False,La Dreta de l'Eixample,Piso
338,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,135.0,,890000,True,False,L'Antiga Esquerra de l'Eixample,Piso
339,"Piso en El Gòtic, Barcelona",2,116.0,,780000,True,False,El Gòtic,Piso
340,"Piso en Pedralbes, Barcelona",5,286.0,,1550000,True,False,Pedralbes,Piso
341,"Piso en Les Tres Torres, Barcelona",6,351.0,,2300000,True,False,Les Tres Torres,Piso
342,"Chalet en Pedralbes, Barcelona",5,340.0,,2060000,False,False,Pedralbes,Chalet
343,"Ático en Les Tres Torres, Barcelona",4,375.0,,2150000,True,False,Les Tres Torres,Ático
344,"Chalet en El Putxet i el Farró, Barcelona",5,248.0,,1950000,False,False,El Putxet i el Farró,Chalet
345,"Piso en La Dreta de l'Eixample, Barcelona",5,213.0,,1798000,True,False,La Dreta de l'Eixample,Piso
346,"Piso en Pedralbes, Barcelona",4,178.0,,1300000,True,False,Pedralbes,Piso
347,"Piso en Sant Gervasi - Galvany, Barcelona",5,264.0,,1630000,True,False,Sant Gervasi - Galvany,Piso
348,"Piso en Sant Gervasi - Galvany, Barcelona",4,327.0,4.0,1850000,True,True,Sant Gervasi - Galvany,Piso
349,"Piso en Sant Gervasi - Galvany, Barcelona",9,444.0,,1750000,True,False,Sant Gervasi - Galvany,Piso
350,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,113.0,,770000,True,False,L'Antiga Esquerra de l'Eixample,Piso
351,"Ático en Sant Gervasi - Galvany, Barcelona",2,144.0,,900000,True,False,Sant Gervasi - Galvany,Ático
352,"Piso en Sant Gervasi - Galvany, Barcelona",4,222.0,,1350000,True,False,Sant Gervasi - Galvany,Piso
353,"Piso en La Dreta de l'Eixample, Barcelona",3,93.0,,545000,True,False,La Dreta de l'Eixample,Piso
354,"Piso en La Dreta de l'Eixample, Barcelona",3,122.0,,1396000,True,False,La Dreta de l'Eixample,Piso
355,"Piso en La Dreta de l'Eixample, Barcelona",4,123.0,,995000,False,False,La Dreta de l'Eixample,Piso
356,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,105.0,,695000,True,False,L'Antiga Esquerra de l'Eixample,Piso
357,"Chalet en Sant Gervasi - La Bonanova, Barcelona",6,474.0,,2350000,False,False,Sant Gervasi - La Bonanova,Chalet
358,"Piso en Pedralbes, Barcelona",5,367.0,,2400000,True,False,Pedralbes,Piso
359,"Piso en La Sagrada Família, Barcelona",3,73.0,2.0,320000,True,True,La Sagrada Família,Piso
360,"Piso en Sant Gervasi - Galvany, Barcelona",5,140.0,,770000,True,False,Sant Gervasi - Galvany,Piso
361,"Piso en Sant Gervasi - Galvany, Barcelona",5,295.0,,1550000,True,False,Sant Gervasi - Galvany,Piso
362,"Piso en La Trinitat Vella, Barcelona",3,104.0,3.0,176000,False,True,La Trinitat Vella,Piso
363,"Piso en Sant Gervasi - Galvany, Barcelona",4,134.0,4.0,595000,True,True,Sant Gervasi - Galvany,Piso
364,"Chalet en Pedralbes, Barcelona",4,185.0,,860000,False,False,Pedralbes,Chalet
365,"Piso en Vilapicina i la Torre Llobeta, Barcelona",3,85.0,6.0,253000,True,True,Vilapicina i la Torre Llobeta,Piso
366,"Ático en Vilapicina i la Torre Llobeta, Barcelona",2,58.0,4.0,260000,True,True,Vilapicina i la Torre Llobeta,Ático
367,"Piso en La Dreta de l'Eixample, Barcelona",3,149.0,,1150000,True,False,La Dreta de l'Eixample,Piso
368,"Piso en Josep de Agullo, Les Tres Torres, Barcelona",3,118.0,2.0,795000,True,True,Les Tres Torres,Piso
369,"Piso en calle de Súria, La Bordeta, Barcelona",3,89.0,2.0,239000,True,True,La Bordeta,Piso
370,"Piso en calle de Verdi, 228, La Salut, Barcelona",2,75.0,,350000,True,False,La Salut,Piso
371,"Piso en calle de Vallirana, s/n, El Putxet i el Farró, Barcelona",2,70.0,1.0,385000,True,True,El Putxet i el Farró,Piso
372,"Piso en arco de triomf, s/n, Sant Pere - Santa Caterina i la Ribera, Barcelona",5,140.0,8.0,670000,True,True,Sant Pere - Santa Caterina i la Ribera,Piso
373,"Ático en calle de Mallorca, La Nova Esquerra de l'Eixample, Barcelona",3,116.0,9.0,695000,True,True,La Nova Esquerra de l'Eixample,Ático
